Year,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,Demand,Trend
1996,79.35,75.78,86.32,72.6,74.86,83.81,79.8,62.41,85.41,83.11,84.21,89.7,79.78,0
1997,78.64,77.42,89.86,81.27,78.68,89.51,83.67,69.8,91.09,89.43,91.04,92.87,84.44,4.66
1998,81.87,85.36,92.98,81.09,85.64,91.14,83.46,66.37,93.34,85.93,86.81,93.3,85.6075,1.1675
1999,81.59,81.77,91.24,79.45,86.99,96.6,97.99,79.13,103.56,100.89,99.4,111.8,92.53416667,6.926666667
2000,95.3,97.77,116.23,100.98,104.07,114.64,107.62,96.12,123.5,116.12,116.86,128.61,109.8183333,17.28416667
2001,100.56,103.05,119.06,92.46,98.75,111.14,96.13,79.72,102.07,96.18,101.26,109.85,100.8525,-8.965833333
2002,89.52,89.27,104.35,87.05,89.33,102.2,88.13,75.68,99.48,96.4,96.16,101,93.21416667,-7.638333333
2003,89.34,86.91,98.9,85.54,85.25,101.14,91.8,76.98,104.33,99.72,101.06,109,94.16416667,0.95
2004,89.88,92.27,105.11,91.5,92.56,104.35,96.21,79.58,105.43,99.18,99.77,113.55,97.44916667,3.285
2005,91.65,90.56,105.52,92.18,91.22,109.04,99.26,83.36,110.8,104.95,107.07,114.4,100.0008333,2.551666667
